상권_코드_명_x,엑스좌표_값,와이좌표_값,서비스_업종_코드_명,분기당_매출_금액,점포수
연신내역 7번,126.91542066871969,37.62417330975186,문구,352474531,6
연신내역 7번,126.91542066871969,37.62417330975186,서적,1458785119,4
연신내역 7번,126.91542066871969,37.62417330975186,의료기기,43809847,*
연신내역 7번,126.91542066871969,37.62417330975186,의약품,4041872351,20
연신내역 7번,126.91542066871969,37.62417330975186,시계및귀금속,20604442,6
연신내역 7번,126.91542066871969,37.62417330975186,안경,828793157,11
연신내역 7번,126.91542066871969,37.62417330975186,가방,25462897,5
연신내역 7번,126.91542066871969,37.62417330975186,신발,22656688,9
연신내역 7번,126.91542066871969,37.62417330975186,일반의류,907507677,41
연신내역 7번,126.91542066871969,37.62417330975186,반찬가게,1067671685,16
연신내역 7번,126.91542066871969,37.62417330975186,청과상,242551286,5
연신내역 7번,126.91542066871969,37.62417330975186,수산물판매,121781135,6
연신내역 7번,126.91542066871969,37.62417330975186,육류판매,1816906932,16
연신내역 7번,126.91542066871969,37.62417330975186,컴퓨터및주변장치판매,18998380,12
연신내역 7번,126.91542066871969,37.62417330975186,편의점,4547219926,28
연신내역 7번,126.91542066871969,37.62417330975186,슈퍼마켓,2363285916,36
연신내역 7번,126.91542066871969,37.62417330975186,노래방,1128665022,48
연신내역 7번,126.91542066871969,37.62417330975186,여관,397988359,14
연신내역 7번,126.91542066871969,37.62417330975186,세탁소,84175125,15
연신내역 7번,126.91542066871969,37.62417330975186,피부관리실,793059115,37
연신내역 7번,126.91542066871969,37.62417330975186,네일숍,144733306,23
연신내역 7번,126.91542066871969,37.62417330975186,미용실,703156869,61
연신내역 7번,126.91542066871969,37.62417330975186,자동차수리,70915160,4
연신내역 7번,126.91542066871969,37.62417330975186,스포츠클럽,90454881,12
연신내역 7번,126.91542066871969,37.62417330975186,PC방,1150088033,5
연신내역 7번,126.91542066871969,37.62417330975186,골프연습장,48939095,*
연신내역 7번,126.91542066871969,37.62417330975186,당구장,129740747,16
연신내역 7번,126.91542066871969,37.62417330975186,한의원,416856753,7
연신내역 7번,126.91542066871969,37.62417330975186,치과의원,2752098322,16
연신내역 7번,126.91542066871969,37.62417330975186,일반의원,6084345470,31
연신내역 7번,126.91542066871969,37.62417330975186,스포츠 강습,131931003,16
연신내역 7번,126.91542066871969,37.62417330975186,예술학원,615196664,29
연신내역 7번,126.91542066871969,37.62417330975186,외국어학원,356217440,16
연신내역 7번,126.91542066871969,37.62417330975186,일반교습학원,1462044036,48
연신내역 7번,126.91542066871969,37.62417330975186,커피-음료,1164822500,72
연신내역 7번,126.91542066871969,37.62417330975186,호프-간이주점,3631404411,54
연신내역 7번,126.91542066871969,37.62417330975186,분식전문점,915208159,50
연신내역 7번,126.91542066871969,37.62417330975186,치킨전문점,424900298,29
연신내역 7번,126.91542066871969,37.62417330975186,패스트푸드점,313182702,11
연신내역 7번,126.91542066871969,37.62417330975186,제과점,687717159,19
연신내역 7번,126.91542066871969,37.62417330975186,양식음식점,644012987,27
연신내역 7번,126.91542066871969,37.62417330975186,일식음식점,1036961622,29
연신내역 7번,126.91542066871969,37.62417330975186,중식음식점,972580045,20
연신내역 7번,126.91542066871969,37.62417330975186,한식음식점,12832633288,264
고척동성당,126.85765315556124,37.50819734076437,전자상거래업,56052487,38
고척동성당,126.85765315556124,37.50819734076437,조명용품,894222829,4
고척동성당,126.85765315556124,37.50819734076437,인테리어,86858,4
고척동성당,126.85765315556124,37.50819734076437,철물점,42004154,4
고척동성당,126.85765315556124,37.50819734076437,화장품,83056974,14
고척동성당,126.85765315556124,37.50819734076437,서적,72634193,*
고척동성당,126.85765315556124,37.50819734076437,의약품,776084605,4
고척동성당,126.85765315556124,37.50819734076437,시계및귀금속,1613171,*
고척동성당,126.85765315556124,37.50819734076437,안경,224083563,3
고척동성당,126.85765315556124,37.50819734076437,신발,7078746,*
고척동성당,126.85765315556124,37.50819734076437,일반의류,34538191,13
고척동성당,126.85765315556124,37.50819734076437,반찬가게,64805803,7
고척동성당,126.85765315556124,37.50819734076437,수산물판매,180017047,4
고척동성당,126.85765315556124,37.50819734076437,육류판매,465844961,7
고척동성당,126.85765315556124,37.50819734076437,핸드폰,50718495,6
고척동성당,126.85765315556124,37.50819734076437,편의점,292532283,11
고척동성당,126.85765315556124,37.50819734076437,슈퍼마켓,2158412007,12
고척동성당,126.85765315556124,37.50819734076437,노래방,41842681,5
고척동성당,126.85765315556124,37.50819734076437,여관,24677313,3
고척동성당,126.85765315556124,37.50819734076437,세탁소,19774017,4
고척동성당,126.85765315556124,37.50819734076437,피부관리실,61299875,7
고척동성당,126.85765315556124,37.50819734076437,미용실,144674606,20
고척동성당,126.85765315556124,37.50819734076437,자동차미용,7103900,*
